gnm	2	1750
pos	1751	5707
gnm	5708	7454
pos	7455	9335
gnm	9336	9370
neg	9371	11480
gnm	11481	12299
neg	12300	12360
gnm	12361	12551
neg	12552	12604
gnm	12605	12629
neg	12630	12636
gnm	12637	12637
neg	12638	12642
gnm	12643	12643
neg	12644	12644
gnm	12645	12645
neg	12646	12650
gnm	12651	12651
neg	12652	12652
gnm	12653	12671
neg	12672	12988
gnm	12989	13325
pos	13326	17535
gnm	17536	17722
pos	17723	17733
gnm	17734	17734
pos	17735	17743
gnm	17744	17802
pos	17803	17833
gnm	17834	18368
pos	18369	23060
gnm	23061	24467
pos	24468	28664
gnm	28665	29567
pos	29568	29674
gnm	29675	29691
pos	29692	29714
gnm	29715	29819
neg	29820	30166
gnm	30167	30175
neg	30176	30186
gnm	30187	30301
neg	30302	34787
gnm	34788	35722
pos	35723	44102
gnm	44103	44103
neg	44104	45493
gnm	45494	47422
pos	47423	49930
gnm	49931	49992
neg	49993	51319
gnm	51320	53145
pos	53146	54420
gnm	54421	54444
neg	54445	57000
